Name,Genotype,Sent to and date,Constructed by,Thawed for and date,Constructed from,Isolation date,Isolation location,Gps latitude,Gps longitude,Description,SysID
PY1322,-,-,-,-,-,-,-,-,-,,
PX582,-,-,-,-,-,-,-,-,-,,
PX584,-,-,-,-,-,-,-,-,-,,
LJ2,-,-,-,-,-,-,-,-,-,,
PY1157,-,-,-,-,-,-,-,-,-,,
PX583,-,-,-,-,-,-,-,-,-,,
PX585,-,-,-,-,-,-,-,-,-,,
QX1820,-,-,-,-,"N2, CB4856 (?)",NA,NA,NA,NA,,
QX1821,-,-,-,-,"N2, CB4856 (?)",NA,NA,NA,NA,,
ECA265,-,-,HT,-,"TJ3000, CB14",-,-,-,-,,
ECA266,-,-,HT,-,"TJ3002, CB14",-,-,-,-,,
ECA250,-,-,HT,-,"EG8899, TJ3002, CB1490",-,-,-,-,,
ECA267,-,-,HT,-,"EG8899, TJ3002, CB1490",-,-,-,-,,
ECA281,-,-,-,-,-,-,-,-,-,,
ECA282,-,-,HT,-,"EG8899, TJ3000, CB1490",-,-,-,-,,
ECA283,-,-,HT,-,"EG8899, TJ3000, CB1490",-,-,-,-,,
ECA285,-,-,-,-,-,-,-,-,-,,
ECA286,-,-,-,-,-,-,-,-,-,,
CB3844,fem-3 (e2006),-,J. Hodgkin,-,-,NA,NA,NA,NA,,
PTM90,"kyIR1 (V, CB4856>N2); kahIR10 (X, LSJ2>N2), qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
ECA2,-,-,E. Andersen,-,NA,-,-,NA,NA,,
ERT248,-,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT249,-,-,K. Balla,-,-,NA,NA,NA,NA,,
EG8899,oxTi951 I; unc-119(ed3) III.,-,C. Frokjaer-Jensen,-,-,NA,NA,NA,NA,,
SX523,prg-1(n4357) I; prg-2(n4358) IV.,-,E. Miska,-,-,NA,NA,NA,NA,,
HK104.G250.252,-,-,Baer Lab,-,HK104,NA,NA,NA,NA,,
PX513,-,-,-,-,-,-,-,-,-,,
PX514,-,-,-,-,-,-,-,-,-,,
px515,-,-,-,-,-,-,-,-,-,,
px516,-,-,-,-,-,-,-,-,-,,
px517,-,-,-,-,-,-,-,-,-,,
px518,-,-,-,-,-,-,-,-,-,,
px436,-,-,-,-,-,-,-,-,-,,
PX438,-,-,-,-,-,-,-,-,-,,
PX520,-,-,-,-,-,-,-,-,-,,
PX521,-,-,-,-,-,-,-,-,-,,
px522,-,-,-,-,-,-,-,-,-,,
PX523,-,-,-,-,-,-,-,-,-,,
PX524,-,-,-,-,-,-,-,-,-,,
PX587,-,-,-,-,-,-,-,-,-,,
ECA2,-,-,E. Andersen,-,NA,-,-,NA,NA,,
ERT248,-,-,K. Balla,-,-,NA,NA,NA,NA,,
ERT249,-,-,K. Balla,-,-,NA,NA,NA,NA,,
EG8899,oxTi951 I; unc-119(ed3) III.,-,C. Frokjaer-Jensen,-,-,NA,NA,NA,NA,,
SX523,prg-1(n4357) I; prg-2(n4358) IV.,-,E. Miska,-,-,NA,NA,NA,NA,,
HK104.G250.252,-,-,Baer Lab,-,HK104,NA,NA,NA,NA,,
PX513,-,-,-,-,-,-,-,-,-,,
PX514,-,-,-,-,-,-,-,-,-,,
px515,-,-,-,-,-,-,-,-,-,,
px516,-,-,-,-,-,-,-,-,-,,
px517,-,-,-,-,-,-,-,-,-,,
px518,-,-,-,-,-,-,-,-,-,,
px436,-,-,-,-,-,-,-,-,-,,
PX438,-,-,-,-,-,-,-,-,-,,
PX520,-,-,-,-,-,-,-,-,-,,
PX521,-,-,-,-,-,-,-,-,-,,
px522,-,-,-,-,-,-,-,-,-,,
PX523,-,-,-,-,-,-,-,-,-,,
PX524,-,-,-,-,-,-,-,-,-,,
PX587,-,-,-,-,-,-,-,-,-,,
PY1322,-,-,-,-,-,-,-,-,-,,
PX582,-,-,-,-,-,-,-,-,-,,
PX584,-,-,-,-,-,-,-,-,-,,
LJ2,-,-,-,-,-,-,-,-,-,,
PY1157,-,-,-,-,-,-,-,-,-,,
PX583,-,-,-,-,-,-,-,-,-,,
PX585,-,-,-,-,-,-,-,-,-,,
QX1820,-,-,-,-,"N2, CB4856 (?)",NA,NA,NA,NA,,
QX1821,-,-,-,-,"N2, CB4856 (?)",NA,NA,NA,NA,,
ECA265,-,-,HT,-,"TJ3000, CB14",-,-,-,-,,
ECA266,-,-,HT,-,"TJ3002, CB14",-,-,-,-,,
ECA250,-,-,HT,-,"EG8899, TJ3002, CB1490",-,-,-,-,,
ECA267,-,-,HT,-,"EG8899, TJ3002, CB1490",-,-,-,-,,
ECA281,-,-,-,-,-,-,-,-,-,,
ECA282,-,-,HT,-,"EG8899, TJ3000, CB1490",-,-,-,-,,
ECA283,-,-,HT,-,"EG8899, TJ3000, CB1490",-,-,-,-,,
ECA285,-,-,-,-,-,-,-,-,-,,
ECA286,-,-,-,-,-,-,-,-,-,,
CB3844,fem-3 (e2006),-,J. Hodgkin,-,-,NA,NA,NA,NA,,
PTM90,"kyIR1 (V, CB4856>N2); kahIR10 (X, LSJ2>N2), qgIR1 (X, CB4856>N2)",-,P. McGrath,-,See description below,NA,NA,NA,NA,,
QG1500,qgIr491[CB4856>N2 X:3279877-4730800],-,-,-,"N2, CB4856",NA,NA,NA,NA,,
MT18201,+ / nT1 IV [ qIs51 ] ; let-418(n3536) V / nT1 V [ qIs51 ] ; lin-15B(n744) X lin-15A(n433) X,-,A. Saffer,-,"MT18163, MT14390",NA,NA,NA,NA,,
ECA19,+ ttTi5605 unc-4(e120),-,ECA,-,"DL238, ECA23",-,-,-,-,,
ECA11,+ ttTi5605 unc-4(e120),-,ECA,-,"JU258, ECA23",-,-,-,-,,
ECA12,+ ttTi5605 unc-4(e120),-,ECA,-,"JU258, ECA23",-,-,-,-,,
ECA17,+ ttTi5605 unc-4(e120),-,ECA,-,"CB4856, ECA23",-,-,-,-,,
ECA18,+ ttTi5605 unc-4(e120),-,ECA,-,"CB4856, ECA23",-,-,-,-,,
JT3,aex-2(sa3),-,-,-,-,NA,NA,NA,NA,,
PB1102,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
PB1103,AF16xHK104 RIAIL,-,S. Baird,-,Baird AF16 and Baird HK104,NA,NA,NA,NA,,
